severity	classification	document	kind	target	resolved	disposition	reason
warning	bundled-reference	SKILL.md:87	code span	knowledge/cobalt/guides/01-cobalt-static-site-generation.md	cobalt-guidelines/knowledge/cobalt/guides/01-cobalt-static-site-generation.md	transitional-warning	guide is bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL.md:26	code span	knowledge/tailwindcss/guides/reference.md	tailwindcss/knowledge/tailwindcss/guides/reference.md	transitional-warning	guide is bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:53	code span	knowledge/deno/guides/bugs.md	deno-js-linter/knowledge/deno/guides/bugs.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:54	code span	knowledge/deno/guides/pitfalls.md	deno-js-linter/knowledge/deno/guides/pitfalls.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:55	code span	knowledge/deno/guides/style.md	deno-js-linter/knowledge/deno/guides/style.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:54	code span	knowledge/biome/guides/js-linter/bugs.md	biome-js-linter/knowledge/biome/guides/js-linter/bugs.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:55	code span	knowledge/biome/guides/js-linter/pitfalls.md	biome-js-linter/knowledge/biome/guides/js-linter/pitfalls.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:56	code span	knowledge/biome/guides/js-linter/style.md	biome-js-linter/knowledge/biome/guides/js-linter/style.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:57	code span	knowledge/biome/guides/js-linter/simplification.md	biome-js-linter/knowledge/biome/guides/js-linter/simplification.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:58	code span	knowledge/biome/guides/js-linter/performance.md	biome-js-linter/knowledge/biome/guides/js-linter/performance.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:59	code span	knowledge/biome/guides/js-linter/security.md	biome-js-linter/knowledge/biome/guides/js-linter/security.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-js-linter.md:60	code span	knowledge/biome/guides/js-linter/experimental.md	biome-js-linter/knowledge/biome/guides/js-linter/experimental.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:56	code span	knowledge/biome/guides/web-linter/correctness.md	biome-linter/knowledge/biome/guides/web-linter/correctness.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:57	code span	knowledge/biome/guides/web-linter/suspicious.md	biome-linter/knowledge/biome/guides/web-linter/suspicious.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:58	code span	knowledge/biome/guides/web-linter/style.md	biome-linter/knowledge/biome/guides/web-linter/style.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:59	code span	knowledge/biome/guides/web-linter/complexity.md	biome-linter/knowledge/biome/guides/web-linter/complexity.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:60	code span	knowledge/biome/guides/web-linter/a11y.md	biome-linter/knowledge/biome/guides/web-linter/a11y.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:61	code span	knowledge/biome/guides/web-linter/performance.md	biome-linter/knowledge/biome/guides/web-linter/performance.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:62	code span	knowledge/biome/guides/web-linter/security.md	biome-linter/knowledge/biome/guides/web-linter/security.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
warning	bundled-reference	SKILL-web-linter.md:63	code span	knowledge/biome/guides/web-linter/nursery.md	biome-linter/knowledge/biome/guides/web-linter/nursery.md	transitional-warning	guides are bundled under package guides/ layout; Arc 02 will harmonise source or staging paths
