package	severity	classification	document_line	kind	target	resolved	disposition	reason
rust-guidelines	warning	bundled-reference	guides/README.md:69	inline link	./14-cli-tools/09-common-pitfalls.md	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:159	inline link	09-common-pitfalls.md	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:221	inline link	09-common-pitfalls.md#cli-49	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:222	inline link	09-common-pitfalls.md#cli-50	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:223	inline link	09-common-pitfalls.md#cli-51	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	guides/14-cli-tools/README.md:224	inline link	09-common-pitfalls.md#cli-52	rust-guidelines/guides/14-cli-tools/09-common-pitfalls.md	transitional-warning	current guide links a file not shipped in the package; Arc 02 will harmonise or remove the reference
rust-guidelines	warning	bundled-reference	SKILL.md:113	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:114	code span	15-cargo/01-cargo-basics.md	rust-guidelines/15-cargo/01-cargo-basics.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:115	code span	15-cargo/02-cargo-build-system.md	rust-guidelines/15-cargo/02-cargo-build-system.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
rust-guidelines	warning	bundled-reference	SKILL.md:116	code span	15-cargo/03-cargo-plugins.md	rust-guidelines/15-cargo/03-cargo-plugins.md	transitional-warning	guide exists under package guides/ layout; Arc 02 will harmonise source or staging paths
