package	document_line	kind	target	resolved	disposition	candidate_disposition
rust-guidelines	SKILL.md:113	code span	14-cli-tools/README.md	rust-guidelines/14-cli-tools/README.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:114	code span	15-cargo/01-cargo-basics.md	rust-guidelines/15-cargo/01-cargo-basics.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:115	code span	15-cargo/02-cargo-build-system.md	rust-guidelines/15-cargo/02-cargo-build-system.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:116	code span	15-cargo/03-cargo-plugins.md	rust-guidelines/15-cargo/03-cargo-plugins.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:117	code span	15-cargo/04-cargo-publishing.md	rust-guidelines/15-cargo/04-cargo-publishing.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:118	code span	15-cargo/05-cargo-configuration.md	rust-guidelines/15-cargo/05-cargo-configuration.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:119	code span	15-cargo/06-cargo-advanced.md	rust-guidelines/15-cargo/06-cargo-advanced.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:120	code span	15-cargo/07-lints-and-formatters.md	rust-guidelines/15-cargo/07-lints-and-formatters.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:121	code span	15-cargo/08-manifest-and-workspace-advanced.md	rust-guidelines/15-cargo/08-manifest-and-workspace-advanced.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
rust-guidelines	SKILL.md:127	code span	14-cli-tools/01-project-setup.md	rust-guidelines/14-cli-tools/01-project-setup.md	transitional-warning	staging transform: source entrypoint preserved, packaged copy rewrites to guides/
