file	area	line	kind	target	class
README.md	repo-root	5	markdown-link	https://img.shields.io/badge/License-MIT-blue.svg	external-url
README.md	repo-root	17	markdown-link	#the-skill-library	anchor-only
README.md	repo-root	25	markdown-link	#about	anchor-only
README.md	repo-root	26	markdown-link	#the-collaboration-framework	anchor-only
README.md	repo-root	27	markdown-link	#the-problems	anchor-only
README.md	repo-root	27	markdown-link	#the-solutions	anchor-only
README.md	repo-root	28	markdown-link	#what-you-get	anchor-only
README.md	repo-root	28	markdown-link	#how-to-use-it	anchor-only
README.md	repo-root	29	markdown-link	#under-the-hood	anchor-only
README.md	repo-root	30	markdown-link	#the-skill-library	anchor-only
README.md	repo-root	31	markdown-link	#building-and-installing	anchor-only
README.md	repo-root	32	markdown-link	#repository-layout	anchor-only
README.md	repo-root	33	markdown-link	#composite-cognition-dispatch-protocol	anchor-only
README.md	repo-root	34	markdown-link	#contributing	anchor-only
README.md	repo-root	35	markdown-link	#license	anchor-only
README.md	repo-root	40	code-span	/collaboration-framework	absolute-or-rooted
README.md	repo-root	72	markdown-link	./docs/ORIGINS.md	document-relative
README.md	repo-root	152	code-span	make collab-framework	path-like
README.md	repo-root	152	code-span	collaboration-framework.zip	path-like
README.md	repo-root	157	code-span	make install	path-like
README.md	repo-root	158	code-span	~/.agents/skills/	path-like
README.md	repo-root	160	code-span	/collaboration-framework	absolute-or-rooted
README.md	repo-root	181	markdown-link	./SKILL.md	document-relative
README.md	repo-root	181	code-span	SKILL.md	path-like
README.md	repo-root	184	markdown-link	./docs/AI-CONSTITUTION-SUPPLEMENT.md	document-relative
README.md	repo-root	184	code-span	AI-CONSTITUTION-SUPPLEMENT.md	path-like
README.md	repo-root	185	markdown-link	./docs/AI-ENGINEERING-METHODOLOGY.md	document-relative
README.md	repo-root	185	code-span	AI-ENGINEERING-METHODOLOGY.md	path-like
README.md	repo-root	186	markdown-link	./docs/PROJECT-MANAGEMENT.md	document-relative
README.md	repo-root	186	markdown-link	./docs/pm/	document-relative
README.md	repo-root	186	code-span	PROJECT-MANAGEMENT.md	path-like
README.md	repo-root	186	code-span	docs/pm/	path-like
README.md	repo-root	187	markdown-link	./templates/LEDGER-DISCIPLINE.md	document-relative
README.md	repo-root	187	code-span	LEDGER-DISCIPLINE.md	path-like
README.md	repo-root	188	markdown-link	./docs/CODE-AUDIT.md	document-relative
README.md	repo-root	188	code-span	CODE-AUDIT.md	path-like
README.md	repo-root	190	markdown-link	./docs/CLAUDE-CODE-COVERAGE.md	document-relative
README.md	repo-root	190	code-span	CLAUDE-CODE-COVERAGE.md	path-like
README.md	repo-root	191	markdown-link	./docs/SUBAGENT-DELEGATION-POLICY.md	document-relative
README.md	repo-root	191	code-span	SUBAGENT-DELEGATION-POLICY.md	path-like
README.md	repo-root	192	markdown-link	./docs/CONTRIBUTION-STYLE.md	document-relative
README.md	repo-root	192	markdown-link	./templates/CONTRIBUTION-TICKET.md	document-relative
README.md	repo-root	192	code-span	CONTRIBUTION-STYLE.md	path-like
README.md	repo-root	192	code-span	CONTRIBUTION-TICKET.md	path-like
README.md	repo-root	195	code-span	CLAUDE.md	path-like
README.md	repo-root	199	markdown-link	./knowledge	document-relative
README.md	repo-root	199	code-span	./knowledge/	document-relative
README.md	repo-root	200	code-span	SKILL.md	path-like
README.md	repo-root	210	markdown-link	./knowledge/rust/README.md	document-relative
README.md	repo-root	211	markdown-link	./knowledge/js/	document-relative
README.md	repo-root	212	markdown-link	./knowledge/go/	document-relative
README.md	repo-root	213	markdown-link	./knowledge/cpp/	document-relative
README.md	repo-root	214	markdown-link	./knowledge/erlang/	document-relative
README.md	repo-root	215	markdown-link	./knowledge/design/	document-relative
README.md	repo-root	216	markdown-link	./knowledge/tailwindcss/	document-relative
README.md	repo-root	217	markdown-link	./knowledge/biome/	document-relative
README.md	repo-root	218	markdown-link	./knowledge/deno/	document-relative
README.md	repo-root	219	markdown-link	./knowledge/cobalt/	document-relative
README.md	repo-root	221	code-span	README.md	repo-root-relative
README.md	repo-root	222	code-span	SKILL.md	path-like
README.md	repo-root	223	code-span	CLAUDE.md	path-like
README.md	repo-root	225	code-span	SKILL.md	path-like
README.md	repo-root	242	markdown-link	./Makefile	document-relative
README.md	repo-root	244	code-span	SKILL.md	path-like
README.md	repo-root	272	code-span	make install	path-like
README.md	repo-root	291	markdown-link	./docs/dev/	document-relative
README.md	repo-root	291	code-span	docs/dev/	path-like
README.md	repo-root	315	markdown-link	https://github.com/billosys/ai-engineering/blob/main/protocols/ccdp/composite-cognition-dispatch-protocol.md	external-url
README.md	repo-root	317	markdown-link	https://billo.systems/ai-engineering/protocols/ccdp/visual-guide/	external-url
README.md	repo-root	325	markdown-link	./templates/GUIDE.md	document-relative
README.md	repo-root	325	code-span	templates/GUIDE.md	repo-root-relative
README.md	repo-root	326	markdown-link	./docs/dev/	document-relative
README.md	repo-root	326	code-span	docs/dev/	path-like
README.md	repo-root	331	markdown-link	./LICENSE	document-relative
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	15	markdown-link	#section-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	16	markdown-link	#section-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	17	markdown-link	#section-2-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	18	markdown-link	#section-2-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	19	markdown-link	#section-2-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	20	markdown-link	#section-2-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	21	markdown-link	#section-2-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	22	markdown-link	#section-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	23	markdown-link	#section-3-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	24	markdown-link	#section-3-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	25	markdown-link	#section-3-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	26	markdown-link	#section-3-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	27	markdown-link	#section-3-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	28	markdown-link	#section-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	29	markdown-link	#section-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	30	markdown-link	#section-5-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	31	markdown-link	#section-5-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	32	markdown-link	#section-5-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	33	markdown-link	#section-5-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	34	markdown-link	#section-5-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	35	markdown-link	#section-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	36	markdown-link	#section-6-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	37	markdown-link	#section-6-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	38	markdown-link	#section-6-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	39	markdown-link	#section-6-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	40	markdown-link	#section-6-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	41	markdown-link	#section-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	42	markdown-link	#section-7-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	43	markdown-link	#section-7-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	44	markdown-link	#section-7-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	45	markdown-link	#section-7-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	46	markdown-link	#section-7-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	47	markdown-link	#section-7-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	48	markdown-link	#section-7-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	49	markdown-link	#section-7-8	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	50	markdown-link	#section-7-9	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	51	markdown-link	#section-8	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	52	markdown-link	#section-8-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	53	markdown-link	#section-8-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	54	markdown-link	#section-8-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	55	markdown-link	#section-8-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	56	markdown-link	#section-8-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	57	markdown-link	#section-8-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	58	markdown-link	#section-9	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	59	markdown-link	#section-9-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	60	markdown-link	#section-9-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	61	markdown-link	#section-9-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	62	markdown-link	#section-9-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	63	markdown-link	#section-9-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	64	markdown-link	#section-9-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	65	markdown-link	#section-9-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	66	markdown-link	#section-10	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	67	markdown-link	#section-10-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	68	markdown-link	#section-10-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	69	markdown-link	#section-10-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	70	markdown-link	#section-10-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	71	markdown-link	#section-10-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	73	markdown-link	#section-10-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	74	markdown-link	#section-10-8	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	75	markdown-link	#section-11	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	76	markdown-link	#section-11-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	77	markdown-link	#section-11-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	78	markdown-link	#section-11-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	79	markdown-link	#section-11-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	80	markdown-link	#section-11-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	81	markdown-link	#section-11-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	82	markdown-link	#section-11-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	83	markdown-link	#section-12	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	84	markdown-link	#section-12-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	85	markdown-link	#section-12-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	86	markdown-link	#section-12-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	87	markdown-link	#section-12-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	88	markdown-link	#section-12-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	89	markdown-link	#section-12-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	90	markdown-link	#section-12-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	91	markdown-link	#section-13	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	92	markdown-link	#section-13-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	93	markdown-link	#section-13-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	94	markdown-link	#section-13-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	95	markdown-link	#section-13-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	96	markdown-link	#section-13-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	97	markdown-link	#section-13-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	98	markdown-link	#section-13-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	99	markdown-link	#section-14	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	100	markdown-link	#section-14-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	101	markdown-link	#section-14-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	102	markdown-link	#section-14-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	103	markdown-link	#section-14-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	104	markdown-link	#section-14-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	105	markdown-link	#section-14-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	106	markdown-link	#section-15	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	107	markdown-link	#section-15-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	108	markdown-link	#section-15-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	109	markdown-link	#section-15-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	110	markdown-link	#section-15-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	111	markdown-link	#section-15-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	112	markdown-link	#section-15-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	113	markdown-link	#section-15-7	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	114	markdown-link	#section-15-8	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	115	markdown-link	#section-16	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	116	markdown-link	#section-16-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	117	markdown-link	#section-16-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	118	markdown-link	#section-16-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	119	markdown-link	#section-16-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	120	markdown-link	#section-16-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	121	markdown-link	#section-16-6	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	122	markdown-link	#section-17	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	123	markdown-link	#section-17-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	124	markdown-link	#section-17-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	125	markdown-link	#section-17-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	126	markdown-link	#section-17-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	127	markdown-link	#section-18	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	128	markdown-link	#section-18-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	129	markdown-link	#section-18-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	130	markdown-link	#section-18-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	131	markdown-link	#section-18-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	132	markdown-link	#section-18-5	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	133	markdown-link	#section-19	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	134	markdown-link	#section-19-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	135	markdown-link	#section-19-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	136	markdown-link	#section-19-3	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	137	markdown-link	#section-19-4	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	138	markdown-link	#section-20	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	139	markdown-link	#section-21	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	140	markdown-link	#section-21-1	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	141	markdown-link	#section-21-2	anchor-only
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	178	code-span	// ...	absolute-or-rooted
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	180	code-span	// ...	absolute-or-rooted
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	180	code-span	application/json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	798	code-span	ccdp/request	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	799	code-span	ccdp/escalation	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	800	code-span	ccdp/health.request	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	801	code-span	ccdp/decomposition.result	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	802	code-span	ccdp/notification	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1241	code-span	envelope.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1242	code-span	content.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1243	code-span	provenance.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1244	code-span	escalation.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1245	code-span	health.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1246	code-span	decomposition-plan.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	1247	code-span	audit-record.schema.json	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	2853	code-span	ccdp/health.request	path-like
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	3110	code-span	/body/translation	absolute-or-rooted
protocols/ccdp/composite-cognition-dispatch-protocol.md	ccdp-root	4075	markdown-link	https://github.com/billosys/ai-engineering/blob/ccdp-0.1/protocols/ccdp/composite-cognition-dispatch-protocol.md	external-url
protocols/ccdp/json/FINDINGS.md	json	84	code-span	/	absolute-or-rooted
protocols/ccdp/json/FINDINGS.md	json	91	code-span	// ...	absolute-or-rooted
protocols/ccdp/json/FINDINGS.md	json	99	code-span	// ...	absolute-or-rooted
protocols/ccdp/json/FINDINGS.md	json	99	code-span	/* ... */	absolute-or-rooted
protocols/ccdp/json/MANIFEST.md	json	6	code-span	.notes.md	path-like
protocols/ccdp/json/MANIFEST.md	json	8	code-span	FINDINGS.md	path-like
protocols/ccdp/json/MANIFEST.md	json	15	code-span	src/README.md	ccdp-root-relative
protocols/ccdp/json/MANIFEST.md	json	15	code-span	src/01-abstract.md	ccdp-root-relative
